Cohort,Male_Profile,Female_Profile,Profile_1624,Profile_2534,Profile_3544,Profile_4554,Profile_5564,Profile_65,ABC1_Profile,C2DE_Profile
newly engaged,50,50,20,40,20,10,5,5,60,40
home movers- in the process of moving,50,50,10,20,20,20,15,15,60,40
home movers- researching,50,50,10,20,20,20,15,15,60,40
home movers- settling in,50,50,10,20,30,20,10,10,60,40
recently retired,50,50,0,0,0,0,20,80,60,40
retirees,45,55,0,0,0,0,20,80,60,40
soon to retire,50,50,0,0,0,20,40,40,60,40
apprenticeship enthusiasts,60,40,30,25,20,15,5,5,50,50
resume crafting seekers,50,50,20,30,20,15,10,5,60,40
dieters- nootropics,60,40,10,30,25,20,10,5,75,25
home design fans- carpet,40,60,10,20,20,20,20,10,60,40
in need of help- roofing services,60,40,5,15,20,25,20,15,60,40
image conscious- cosmetics services,20,80,15,30,25,15,10,5,60,40
health concerned- vaccines,40,60,10,20,20,20,15,15,60,40
health concerned- allergies,40,60,10,15,20,20,20,15,60,40
health concerned- endocrine and metabolic diseases,40,60,5,10,15,20,25,25,60,40
health concerned- eye and vision conditions,45,55,5,10,15,20,25,25,60,40
health concerned- mental health,40,60,20,30,20,15,10,5,60,40
health concerned- thyroid disorders,20,80,5,10,15,20,25,25,60,40
art and photography books readers,40,60,10,20,20,20,15,15,60,40
reference readers,50,50,10,15,20,20,20,15,60,40
pet owners- in need of a vet,40,60,10,20,20,20,15,15,60,40
home tech enthusiasts- printers and scanners,60,40,10,20,25,20,15,10,60,40
prague interested,50,50,20,30,20,15,10,5,60,40
on the pulse- retail industry,40,60,10,20,20,20,20,10,60,40
art collectors,60,40,5,10,15,20,25,25,80,20
rockhounding fans,60,40,10,20,20,20,15,15,50,50
powerboat racing fans,70,30,10,20,25,20,15,10,60,40
eredivise fans,70,30,20,30,20,15,10,5,60,40
budget fragrance product prioritisers,40,60,20,30,20,15,10,5,50,50
luxury skin care product prioritisers,30,70,10,20,20,20,20,10,80,20
tech enthusiasts- tablets,60,40,20,30,20,15,10,5,60,40
riyadh interested,60,40,20,30,20,15,10,5,65,35
spain interested,40,60,20,30,20,15,10,5,60,40
thailand interested,50,50,20,30,20,15,10,5,60,40
renaissance fair fans,50,50,10,20,20,20,20,10,60,40
rowing,60,40,10,20,25,20,15,10,75,25
van owners,70,30,5,15,20,25,20,15,60,40
tanning fans,40,60,20,30,20,15,10,5,60,40
vegans,40,60,20,30,20,15,10,5,60,40
university bound- researching options,50,50,80,15,3,1,1,0,60,40
young adult literature readers,40,60,50,25,15,5,3,2,60,40
financial planners - auto insurance,60,40,5,15,20,25,20,15,75,25
financial planners - debit & checking services,50,50,10,20,20,20,20,10,60,40
financial planners - estate planning,60,40,5,15,20,25,20,15,80,20
financial planners - financial planning & assistance,60,40,5,20,25,20,20,10,75,25
financial planners - health insurance,40,60,5,20,25,20,20,10,75,25
financial planners - home insurance,50,50,5,20,25,20,20,10,60,40
financial planners - life insurance,60,40,5,15,20,25,20,15,75,25
financial planners - pet insurance,40,60,5,20,25,20,20,10,60,40
financial planners - retirement planning,60,40,5,15,20,25,20,15,75,25
financial planners - savings accounts,60,40,5,15,20,25,20,15,75,25
financial planners - student loans,40,60,5,30,25,20,15,5,75,25
financial planners - tax software,60,40,5,20,30,20,15,10,80,20
financial planners - travel insurance,50,50,5,20,25,20,20,10,60,40
vegetarians,40,60,20,30,20,15,10,5,60,40
on the shopping list- viennoiserie,40,60,10,20,20,20,15,15,60,40
vietnamese cuisine fans,50,50,20,30,20,15,10,5,60,40
on the shopping list- wine,45,55,10,20,20,20,15,15,60,40
gifting preppers - personalized gifts,40,60,10,20,20,20,15,15,60,40
home renovators- remodelling,50,50,5,15,20,25,20,15,60,40
toyota fans,70,30,10,20,25,20,15,10,60,40
vauxhall fans,70,30,10,20,25,20,15,10,60,40
volkswagen fans,70,30,10,20,20,20,20,10,60,40
volvo fans,70,30,5,15,20,25,20,15,60,40
financial planners- house market,60,40,5,15,20,25,20,15,75,25
zalando fans,40,60,20,30,20,15,10,5,60,40
tiffany & co. fans,30,70,10,20,20,20,20,10,80,20
zara fans,30,70,30,35,20,10,4,1,60,40
uniqlo fans,50,50,20,30,20,15,10,5,60,40
tom ford fans,40,60,10,20,25,20,15,10,80,20
victorias secret fans,20,80,25,35,20,10,5,5,60,40
tj maxx fans,30,70,15,20,20,20,15,10,60,40
under armour fans,60,40,20,30,25,15,7,3,60,40
vera wang fans,10,90,15,30,25,15,10,5,80,20
urban outfitters fans,40,60,30,35,20,10,4,1,60,40
tissot fans,70,30,5,15,20,25,20,15,80,20
tommy hilfiger fans,45,55,20,30,20,15,10,5,60,40
tory burch fans,20,80,10,30,25,20,10,5,75,25
news junkies- law stories,60,40,10,20,20,20,15,15,60,40
tv show fanatics,50,50,20,25,20,15,10,10,60,40
getting work ready - material handling equipment,70,30,20,30,25,15,7,3,50,50
weather enthusiasts,60,40,10,20,20,20,15,15,60,40
video game players,59,41,30,35,15,10,5,5,50,50
financial planners - mortgages,60,40,5,20,25,20,20,10,75,25
orienteering experts,60,40,10,20,25,20,15,10,60,40
wrestling fans- wwe,70,30,20,30,20,15,10,5,50,50
wrestling fans,70,30,20,30,20,15,10,5,50,50
puzzle champions- rubik's cube,70,30,30,40,15,10,5,0,60,40
getting work ready - signage,60,40,10,20,25,20,15,10,50,50
financial planners- job market,60,40,5,20,30,25,15,5,75,25
youtube enthusiasts,55,45,30,25,20,10,10,5,60,40
travel buffs,50,50,10,20,20,20,15,15,60,40
water sports lovers,60,40,20,30,20,15,10,5,60,40
thru-hiking enthusiasts,60,40,10,20,20,20,20,10,60,40
train enthusiasts,80,20,10,15,20,20,20,15,60,40
triathlon competitors,60,40,10,20,30,20,15,5,75,25
truck & suv enthusiasts,75,25,10,20,25,20,15,10,60,40
unicycle riders,70,30,20,30,20,15,10,5,60,40
upcycling innovators,40,60,20,30,20,15,10,5,65,35
vegetable farming fans,60,40,10,20,20,20,20,10,50,50
veteran supporters,60,40,5,10,15,20,25,25,60,40
video producers,60,40,10,30,25,20,10,5,60,40
vintage car collectors,85,15,5,10,15,20,25,25,60,40
vintage clothing collectors,30,70,20,30,20,15,10,5,60,40
volleyball lovers,50,50,20,30,20,15,10,5,60,40
volunteer heroes,40,60,20,20,15,15,15,15,60,40
wargaming players,85,15,20,30,25,15,7,3,60,40
water polo devotees,60,40,30,25,20,15,5,5,60,40
weaving wizards,30,70,10,20,20,20,20,10,60,40
welders,95,5,15,30,25,20,7,3,50,50
whale watching enthusiasts,50,50,10,15,20,20,20,15,60,40
wine tasting connoisseurs,50,50,5,15,20,20,20,20,80,20
wine crafting connoisseurs,60,40,5,10,15,20,25,25,75,25
winter sports fans,60,40,20,25,20,15,10,10,60,40
witchcraft practitioners,30,70,20,30,20,15,10,5,60,40
wood carving artists,70,30,5,15,20,25,20,15,60,40
getting work ready - workwear,60,40,10,20,25,20,15,10,60,40
world music fans,50,50,15,20,20,15,15,15,60,40
news junkies- crime stories,60,40,10,15,20,20,20,15,50,50
news junkies- elections stories,60,40,10,20,20,20,15,15,60,40
news junkies- local news stories,50,50,10,15,20,20,20,15,60,40
news junkies- current events stories,60,40,10,20,20,20,20,10,60,40
news junkies- sports stories,70,30,15,25,20,15,15,10,60,40
news junkies- weather stories,60,40,10,15,20,20,20,15,60,40
western readers,60,40,10,15,20,20,20,15,50,50
ultimate frisbee fans,60,40,30,35,20,10,3,2,50,50
aspiring djs- equipment,80,20,40,35,15,5,3,2,60,40
bus travellers,50,50,15,20,15,15,20,15,60,40
financial planners - credit & lending,60,40,5,20,25,20,20,10,75,25
financial planners - credit cards,60,40,5,20,30,20,15,10,75,25
university bound- researching institutions,45,55,70,20,5,3,1,1,60,40
trail hikers,55,45,10,20,20,20,15,15,60,40
financial planners - insurance,60,40,5,20,25,20,20,10,75,25
winter olympics fans,50,50,15,20,20,15,15,15,60,40
topshop fans,20,80,40,30,15,10,4,1,60,40
vacheron constantin fans,80,20,5,10,20,25,25,15,85,15
valentino fans,30,70,10,20,25,20,15,10,80,20
valentine's day preppers,40,60,20,30,20,15,10,5,60,40
yves saint laurent fans,40,60,15,30,20,15,10,10,75,25
yohji yamamoto fans,40,60,20,30,20,15,10,5,60,40
vivienne westwood fans,40,60,20,30,20,15,10,5,65,35
web design aficionados- software,70,30,20,30,25,15,7,3,60,40
vr experts,80,20,10,40,30,15,5,0,75,25
xbox fans,70,30,30,35,20,10,4,1,60,40
xiaomi fans,70,30,20,30,20,15,10,5,60,40
budget travellers,50,50,20,30,20,15,10,5,60,40
holiday planners- online reviews,40,60,10,30,25,20,10,5,75,25
indie film,50,50,15,30,20,15,10,10,60,40
air jordan fans,80,20,30,35,20,10,4,1,60,40
job starters,50,50,40,50,10,0,0,0,60,40
sci-fi film fans,60,40,20,30,20,15,10,5,60,40
world cinema fans,50,50,10,20,20,20,15,15,60,40
news junkies- disasters stories,60,40,10,20,20,20,15,15,60,40
news junkies- international news stories,60,40,10,20,20,20,15,15,60,40
news junkies- national news stories,55,45,10,20,20,20,15,15,60,40
news junkies- war and conflicts stories,60,40,10,20,20,20,15,15,50,50
urban music lovers,60,40,30,30,20,10,5,5,50,50
variety audio fans,50,50,20,25,20,15,10,10,60,40
thriller show fans,50,50,20,25,20,15,10,10,60,40
animation show fans,60,40,30,25,20,15,5,5,50,50
tv news fans,50,50,10,15,15,20,20,20,60,40
tv sports fans,60,40,15,20,20,15,15,15,60,40
female deodorant and antiperspirant intenders,10,90,20,30,20,15,10,5,60,40
tragicomedy readers,40,60,10,20,20,20,15,15,60,40
gifting preppers - gift baskets,40,60,10,20,20,20,20,10,60,40
gifting preppers - greeting cards,40,60,10,20,20,20,15,15,60,40
vr gamers,80,20,30,40,20,5,3,2,60,40
treasure hunters,70,30,10,20,20,20,20,10,60,40
word game players,40,60,10,20,20,15,20,15,60,40
financial planners- mitigating crisis,60,40,5,15,20,25,20,15,80,20
financial planners- financial reform,60,40,5,20,25,20,20,10,80,20
financial planners- financial regulation,60,40,5,20,25,20,20,10,80,20
financial planners- gas prices,60,40,5,15,20,25,20,15,80,20
financial planners- interest rates,60,40,5,15,20,25,20,15,80,20
trainers & coaches,50,50,10,20,20,20,20,10,60,40
tobacco industry workers,70,30,10,20,25,20,15,10,60,40
translators & localization experts,40,60,10,30,25,20,10,5,75,25
transport & logistics professionals,70,30,5,15,20,25,20,15,60,40
utility service providers,70,30,5,15,20,25,20,15,60,40
warehouse operations staff,70,30,10,30,25,20,10,5,50,50
wholesale trade experts,70,30,10,20,25,20,15,10,60,40
wine & spirits industry workers,60,40,10,30,25,20,10,5,60,40
wireless tech experts,80,20,10,30,30,20,8,2,60,40
writers & editors,40,60,10,20,20,20,20,10,60,40
unemployed professionals,50,50,10,20,20,20,20,10,60,40
young upwardly mobile,50,50,5,40,35,15,5,0,90,10
word professionals,40,60,10,20,20,20,20,10,75,25
time management pros,50,50,10,20,20,20,20,10,60,40
training experts,50,50,5,20,25,20,20,10,60,40
vendor relations pros,50,50,10,20,25,20,15,10,60,40
website developers,70,30,20,30,25,15,7,3,60,40
windows experts,80,20,10,30,25,20,10,5,60,40
on the shopping list- vegetarian food,40,60,20,25,20,15,10,10,60,40
home upgraders- freezers,40,60,5,15,20,20,20,20,60,40
vauxhall-opel fans,85,15,10,20,25,20,15,10,60,40
home movers- buying a new home,50,50,10,30,25,20,10,5,60,40
winter sports participants,60,40,20,30,20,15,10,5,60,40
budget underwear buyers- male,95,5,20,30,25,15,5,5,50,50
male underwear and sleepwear - luxury/premium  brands skew,90,10,10,30,25,20,10,5,60,40
budget underwear buyers- female,5,95,20,30,20,15,10,5,50,50
female jewelry and watches - luxury/premium  brands skew,10,90,5,15,20,25,20,15,80,20
nokia  mobiles,60,40,20,30,20,15,10,5,50,50
b&b holidayers,40,60,5,15,20,25,20,15,60,40
active day trippers,50,50,10,20,20,20,20,10,60,40
convenience seekers,50,50,20,30,20,15,10,5,60,40
topiary enthusiasts,40,60,5,10,15,20,25,25,60,40
turkish super ligue fans,70,30,20,30,20,15,10,5,50,50
safari interested,50,50,10,20,20,20,15,15,60,40
wedding gift buyers,40,60,10,30,25,20,10,5,60,40
on the shopping list- vegan food,40,60,20,30,20,15,10,5,60,40
vinyl record collectors,70,30,10,20,20,20,20,10,60,40
trapshooting buffs,85,15,5,10,15,20,25,25,60,40
video game makers,80,20,20,40,25,10,4,1,60,40
city breakers,45,55,20,30,20,15,10,5,60,40
luxury investments,70,30,5,10,15,20,25,25,85,15
domestic holidayers,50,50,10,20,20,20,15,15,60,40
teen drama fans,35,65,40,30,15,10,3,2,50,50
no fuss holiday fans,50,50,10,20,20,20,15,15,60,40
5* hotel luxury,50,50,5,15,20,20,20,20,80,20
historical attraction fans,45,55,10,15,20,20,20,15,60,40
alternative investors,70,30,10,30,25,20,10,5,80,20
country club members,65,35,5,10,15,20,25,25,90,10
couture fashion,40,60,10,20,20,20,20,10,80,20
high end cruises,50,50,5,10,15,20,25,25,85,15
high end skiiers,60,40,10,20,25,20,15,10,80,20
luxury hobbyists,60,40,5,10,15,20,25,25,90,10
luxury inspiration,40,60,20,30,20,15,10,5,75,25
luxury neighbourhoods,50,50,5,20,25,20,20,10,90,10
philanthropists,45,55,5,10,15,20,25,25,60,40
superlux locations,60,40,5,15,20,25,20,15,85,15
adventurous eaters,50,50,20,30,20,15,10,5,60,40
african cuisine fans,50,50,10,20,20,20,15,15,60,40
ambitious individuals,50,50,20,30,20,15,10,5,60,40
american cuisine fans,55,45,20,25,20,15,10,10,60,40
animal and nature lovers,40,60,15,20,20,15,15,15,60,40
animal rights campaigners,40,60,20,30,20,15,10,5,60,40
arts and culture show fans,40,60,10,15,20,20,20,15,60,40
asian cuisine fans,50,50,20,30,20,15,10,5,60,40
brand trialers,50,50,20,30,20,15,10,5,60,40
british cuisine fans,50,50,10,20,20,20,15,15,60,40
british show fans,40,60,10,20,20,20,15,15,60,40
business learners,60,40,10,30,25,20,10,5,75,25
business show fans,60,40,10,20,25,20,15,10,75,25
caffeine addicts,50,50,20,30,20,15,10,5,60,40
cars and motoring show fans,75,25,10,20,25,20,15,10,60,40
constantly occupied,50,50,10,20,20,20,15,15,60,40
creative thinkers,50,50,20,25,20,15,10,10,60,40
crypto curious,70,30,20,30,25,15,7,3,60,40
culturally curious,40,60,15,25,20,15,15,10,60,40
executive car buyers,70,30,5,15,20,25,20,15,85,15
exhibition attendees,40,60,10,20,20,20,15,15,60,40
fair trade prioritisers,40,60,10,20,20,20,15,15,75,25
faith-based show fans,40,60,5,10,15,20,25,25,60,40
fashion and beauty show fans,30,70,20,30,20,15,10,5,60,40
feminists,30,70,20,30,20,15,10,5,60,40
financially astute savers,60,40,5,20,25,20,20,10,80,20
"food, drink and cooking show fans",40,60,10,20,20,20,15,15,60,40
health and fitness show fans,40,60,15,25,20,15,15,10,60,40
health concerned- hair loss,60,40,5,15,20,25,20,15,60,40
home and garden show fans,40,60,5,10,15,20,25,25,60,40
hypochondriacs,40,60,10,15,20,20,20,15,60,40
independent spirits,60,40,20,30,20,15,10,5,60,40
inspiration hunters,40,60,20,30,20,15,10,5,65,35
jeans wearers,50,50,20,25,20,15,10,10,60,40
known brand prioritisers,50,50,10,20,20,20,15,15,60,40
life guidance seekers,40,60,20,30,20,15,10,5,60,40
monarchists,50,50,10,15,20,20,20,15,60,40
new car buyers,50,50,10,20,20,20,20,10,60,40
on the pulse- innovation,60,40,20,30,20,15,10,5,75,25
on the shopping list- crisps,50,50,20,20,20,15,15,10,60,40
politics show fans,60,40,5,10,15,20,25,25,60,40
privacy prioritisers,50,50,10,20,20,20,15,15,60,40
quality seekers,45,55,10,20,20,20,15,15,75,25
reggae music fans,55,45,20,30,20,15,10,5,60,40
rest and relaxation prioritisers,40,60,10,20,20,20,15,15,60,40
risk adverse,40,60,10,15,20,20,20,15,60,40
risk takers,60,40,20,30,20,15,10,5,60,40
russian/eastern european cuisine fans,50,50,10,20,20,20,15,15,60,40
scandinavian cuisine fans,50,50,10,20,20,20,15,15,60,40
science and nature show fans,50,50,10,15,20,20,20,15,60,40
snackers,50,50,20,20,20,15,15,10,60,40
sport show fans,60,40,15,20,20,15,15,15,50,50
sports car buyers,80,20,10,20,25,20,15,10,60,40
subscription box members,40,60,20,30,20,15,10,5,60,40
time poor people,50,50,10,20,25,20,15,10,60,40
traditionalists,50,50,5,10,15,20,25,25,60,40
trend setters,40,60,30,35,20,10,4,1,75,25
true crime fans,40,60,10,20,20,20,20,10,60,40
tv sitcom fans,50,50,20,20,20,15,15,10,60,40
unique product prioritisers,40,60,20,30,20,15,10,5,75,25
us show fans,50,50,15,20,20,15,15,15,60,40
vpn users,60,40,20,30,20,15,10,5,60,40
yoga fans,30,70,10,20,25,20,15,10,60,40
yoga fans,30,70,10,20,25,20,15,10,60,40
