Cohort,Attribute
pursuing personal development- textbooks,im - mathematics references books
pursuing personal development- textbooks,im - a-levels english physics books
pursuing personal development- textbooks,im - textbooks
puzzle champions- rubik's cube,im - jigsaws & puzzles
puzzle champions- rubik's cube,im - jigsaws
puzzle champions- rubik's cube,im - brain & puzzle games
puzzle champions- rubik's cube,ls - interested in app  - puzzles & trivia
puzzle champions- rubik's cube,im - jigsaws and puzzles
puzzle champions- rubik's cube,im - 3-d puzzles
puzzle champions- rubik's cube,im - brain teasers
puzzle gamers,im - jigsaws & puzzles
puzzle gamers,im - arcade & platform games
puzzle gamers,im - children's books on games
puzzle gamers,im - nintendo switch games
puzzle gamers,ls - interested in app  - games: arcade
puzzle gamers,im - kids' apps & games
puzzle gamers,im - arcade games
puzzle gamers,im - games for kids
puzzle gamers,im - brain & puzzle games
puzzle gamers,im - board game apps
puzzle gamers,ls - interested in app  - puzzles & trivia
puzzle gamers,im - children's video games
puzzle gamers,im - jigsaws and puzzles
puzzle gamers,im - adventure games for kids
puzzle gamers,im - trivia games
puzzle gamers,im - arcade and platform games
puzzle hobbyists- crossword puzzles,im - brain & puzzle games
puzzle hobbyists- crossword puzzles,im - word games
puzzle hobbyists- crossword puzzles,ls - interested in app  - puzzles & trivia
puzzle hobbyists- crossword puzzles,im - brain teasers
puzzle hobbyists- crossword puzzles,im - word games books
puzzle hobbyists- jigsaw puzzles,im - jigsaws & puzzles
puzzle hobbyists- jigsaw puzzles,im - jigsaws
puzzle hobbyists- jigsaw puzzles,ls - interested in app  - puzzles & trivia
puzzle hobbyists- jigsaw puzzles,im - jigsaws and puzzles
puzzle hobbyists- jigsaw puzzles,im - 3-d puzzles
puzzle hobbyists- jigsaw puzzles,im - brain teasers
puzzle hobbyists- jigsaw puzzles,im - wooden jigsaws
puzzle hobbyists- mazes (indoor/outdoor),im - brain & puzzle games
puzzle hobbyists- mazes (indoor/outdoor),ls - interested in app  - puzzles & trivia
puzzle hobbyists- mazes (indoor/outdoor),im - jigsaws and puzzles
puzzle hobbyists- mazes (indoor/outdoor),im - 3-d puzzles
puzzle hobbyists- mazes (indoor/outdoor),im - brain teasers
puzzle hobbyists- memory training,im - brain & puzzle games
puzzle hobbyists- memory training,ls - interested in app  - puzzles & trivia
puzzle hobbyists- memory training,im - brain teasers
puzzle hobbyists- quizzes,ls - interested in imdb game-show movies & tv
puzzle hobbyists- quizzes,im - brain & puzzle games
puzzle hobbyists- quizzes,ls - interested in app  - puzzles & trivia
puzzle hobbyists- quizzes,im - trivia games
puzzle hobbyists- quizzes,im - brain teasers
puzzle hobbyists- quizzes,im - word games books
puzzle hobbyists- sudoku,im - brain & puzzle games
puzzle hobbyists- sudoku,ls - interested in app  - puzzles & trivia
puzzle hobbyists- sudoku,im - jigsaws and puzzles
puzzle hobbyists- sudoku,im - brain teasers
puzzle hobbyists- word games,im - brain & puzzle games
puzzle hobbyists- word games,im - word games
puzzle hobbyists- word games,im - brain teasers
puzzle hobbyists- word games,im - word games books
quality seekers,ls - frequent shoppers - fashion
quality seekers,ls - premium product buyer in uk
quality seekers,ls - premium shoppers of toys and games (uk)
quality seekers,ls - high spenders
quality seekers,ls - premium shoppers of fashion (uk)
quality seekers,im - hampers & gourmet gifts
quality seekers,ls - premium shoppers of computers & accessories (uk)
quality seekers,ls - premium shoppers of hair care (uk)
quality seekers,ls - premium shoppers of cosmetics and beauty accessories (uk)
quality seekers,ls - premium products purchasers in kitchen appliances
quality seekers,ls - premium products purchasers in pet supplies
quality seekers,ls - premium shoppers of home furnishings (uk)
quality seekers,ls - premium shoppers of skin care (uk)
quality seekers,im - chocolate boxes & gifts
quality seekers,im - premium tech products
quality seekers,ls - premium shoppers of oral care (uk)
quality seekers,im - men's fashion
quality seekers,im - handmade products
quality seekers,im - premium appliances
quality seekers,im - luxury beauty products
quality seekers,im - premium tvs
quality seekers,im - gourmet food & drink books
quality seekers,"im - luxury watches, loose gemstones & diamonds"
quality seekers,ls - b2b - amazon business - high ticket items purchasers
quality seekers,ls - premium products purchasers in consumer electronics
quick meals,ls - home cooking enthusiasts
quick meals,ls - kitchen gadget fans
quick meals,im - food and drink books
quick meals,im - european cooking
quick meals,im - italian food & drink books
quick meals,im - meals
quilling queens & kings,im - handmade decorative accessories
quilting experts,im - hobbies & crafts books
r&b music fans,im - music from the 90's
r&b music fans,ls - r&b and soul music fans
r&b music fans,ls - blues music fans
r&b music fans,ls - r&b music enthusiasts
racing game players,ls - interested in app  - games: racing
racing game players,im - racing games
racing game players,im - driving and racing games
racing game players,im - driving and racing video games
racquetball players,im - women's tennis clothing
racquetball players,im - women's tennis skirts & skorts
radio tuners,im - portable radios & dab
radio tuners,im - car audio fm transmitters
radio-controlled toy collectors,im - kids' play vehicles
radio-controlled toy collectors,im - electronic toys
radio-controlled toy collectors,im - remote & app-controlled cars
radio-controlled toy collectors,im - remote & app-controlled drones
radio-controlled toy collectors,im - kids' toy vehicle playsets
radio-controlled toy collectors,im - kids' play motor vehicles
radio-controlled toy collectors,im - pc flight controls
radio-controlled toy collectors,im - remote & app-controlled aircraft
radio-controlled toy collectors,im - remote & app-controlled motor vehicles
radio-controlled toy collectors,im - remote & app-controlled watercraft
rafting adventurers,im - water sports
rafting adventurers,im - camping & hiking water storage
rafting adventurers,im - kayak hardware
rafting adventurers,im - kayaks
rafting adventurers,im - backpack reservoirs & bladders
rail travellers,im - transport references books
railroad industry workers,im - transportation industry books
ralph lauren fans,im - men's apparel
ralph lauren fans,ls - premium shoppers of fashion (uk)
ralph lauren fans,im - men's accessories
ralph lauren fans,im - men's fashion
ralph lauren fans,im - women's fashion
ranch workers & managers,im - horse riding products
ranch workers & managers,im - animal husbandry books
ranch workers & managers,im - farm & working animals books
ray-ban fans,im - men's sunglasses
ray-ban fans,im - sunglasses
ray-ban fans,im - women's sunglasses
ray-ban fans,im - eyewear and accessories
reading fans,ls - bookworms
reading fans,ls - book enthusiasts
reading fans,im - books
reading fans- e-book tech,ls - bookworms
reading fans- e-book tech,ls - book enthusiasts
reading fans- e-book tech,ls - serious readers
reading fans- e-book tech,im - books
reading fans- e-book tech,im - premium tablet computers
reading fans- e-books,ls - bookworms
reading fans- e-books,ls - book enthusiasts
reading fans- e-books,ls - serious readers
reading fans- e-books,im - books
reading fans- e-books,ls - interested in app - books & comics
realistic fiction readers,im - literary fiction books
realistic fiction readers,im - psychological thrillers books
realistic fiction readers,im - psychological fiction books
realistic fiction readers,im - fiction about social & family issues for young adults books
realistic fiction readers,im - legal thrillers books
realistic fiction readers,im - political thrillers books
realistic fiction readers,im - mysteries & thrillers for young adults books
realistic fiction readers,im - fiction about parents for young adults books
reality show fans,ls -frequent streamers of reality tv
reality show fans,ls - favorite streaming genre - unscripted
reality show fans,ls - interested in imdb reality-tv movies & tv shows
reality show fans,ls - interested in prime video unscripted movies & tv shows
reality show fans,im - reality tv
reality show fans,ls - reality tv fans
record collectors,im - cds and vinyl music
record collectors,im - cds & vinyl
record collectors,im - hi-fi & home audio accessories
record collectors,im - music box sets
reference readers,im - reference books
reference readers,im - education & reference for children books
reference readers,im - children's reference books
reference readers,im - education & reference material for young adults books
reference readers,im - writing reference books
reference readers,im - earth sciences & geography books
reference readers,im - food & drink encyclopaedias & dictionaries books
reference readers,im - textbooks
reggae music fans,ls - r&b music enthusiasts
religious devotees- spirituality,im - new age books
remote work advocates,im - webcams & voip equipment
remote work advocates,im - business and office software
renault fans,ls - renault owners eu
renault fans,ls - renault owners
reporting pros,im - business and office software
research & policy analysts,"im - society, politics and philosophy books"
research & policy analysts,im - social sciences books
research devotees,ls - university life
research devotees,im - university textbooks
research devotees,ls - academics
rest and relaxation prioritisers,im - manicure and pedicure
rest and relaxation prioritisers,im - bath and body
rest and relaxation prioritisers,im - wellness
rest and relaxation prioritisers,im - bath additives
rest and relaxation prioritisers,im - electric massagers
rest and relaxation prioritisers,im - facial treatments & masks
rest and relaxation prioritisers,im - face treatments & masks
rest and relaxation prioritisers,ls - bath & body gift sets - new to category
rest and relaxation prioritisers,im - bath bombs
rest and relaxation prioritisers,im - showerheads & handheld showers
rest and relaxation prioritisers,im - bath and shower
rest and relaxation prioritisers,im - electric handheld massagers
rest and relaxation prioritisers,im - manual massage tools
rest and relaxation prioritisers,im - manual foot massagers
rest and relaxation prioritisers,im - manicure & pedicure tools & accessories
rest and relaxation prioritisers- massage,im - electric massagers
rest and relaxation prioritisers- massage,im - electric handheld massagers
rest and relaxation prioritisers- massage,im - manual massage tools
rest and relaxation prioritisers- massage,im - manual foot massagers
rest and relaxation prioritisers- pools and spa's,im - submersible pumps
rest and relaxation prioritisers- pools and spa's,im - swim towels
restaurant enthusiasts,ls - foodies
restaurant enthusiasts,im - food reference & gastronomy books
restaurant enthusiasts,im - food & drink
retail role enthusiasts,ls - b2b - amazon business - retail and distribution business
retail role enthusiasts,ls - b2b - amazon business - retail trade business
revenue generators,im - business and finance books
revenue generators,im - business economics books
revenue generators,im - professional finance books
revenue generators,ls - b2b - amazon business - high revenue
revenue generators,ls - b2b - amazon business - consumer products and services business
reviewing outgoings- cable & satellite tv providers,im - cable tv watchers
reviewing outgoings- cable & satellite tv providers,"im - home cinema, tv & video cables"
reviewing outgoings- cable & satellite tv providers,im - televisions
reviewing outgoings- cable & satellite tv providers,im - premium tvs
reviewing outgoings- cable & satellite tv providers,im - oled tvs
reviewing outgoings- cable & satellite tv providers,ls - televisions - new to category
reviewing outgoings- gas and electric,ls - interested in app  - utilities
reviewing outgoings- gas and electric,im - utility apps
reviewing outgoings- gas and electric,im - heating appliances
reviewing outgoings- gas and electric,im - thermostats
reviewing outgoings- internet service providers,ls - recent broadband (isp) switchers
reviewing outgoings- internet service providers,im - wifi products
reviewing outgoings- internet service providers,ls - interested in app  - utilities
reviewing outgoings- mobile phone service providers,im - cell phone basic cases
reviewing outgoings- mobile phone service providers,im - mobile phones
reviewing outgoings- mobile phone service providers,ls - recent mobile network operator switchers
reviewing outgoings- mobile phone service providers,im - sim-free smartphones
reviewing outgoings- mobile phone service providers,ls - interested in app  - utilities
reviewing outgoings- water services,ls - interested in app  - utilities
reviewing outgoings- water services,im - utility apps
rimowa fans,im - luggage
rimowa fans,im - luggage & travel accessories
rimowa fans,im - suitcases & travel bags
rimowa fans,im - women's handbags
rimowa fans,im - bags & cases
rimowa fans,im - carry-ons
rimowa fans,im - luggage accessories
rimowa fans,im - women's hobos and shoulder bags
rimowa fans,im - women's top-handle bags
risk adverse,im - safety & security
risk adverse,im - home security systems
risk adverse,im - security apps
risk adverse,im - safes
risk takers,im - camping & hiking hydration products
risk takers,ls - snowsports enthusiasts
risk takers,im - extreme sports books
risk takers,im - surfing
risk takers,im - action cameras
road trippers,im - automotive transport references books
road trippers,im - roof boxes
robotics enthusiasts,im - remote & app-controlled devices
robotics enthusiasts,im - remote & app-controlled drones
robotics enthusiasts,im - electronic pets
rock climbing buffs,"ls - climbing, hiking, mountaineering or winter sports fans"
rock climbing buffs,im - extreme sports books
rock climbing buffs,ls - outdoor enthusiasts
rock music fans,ls - rock music fans
rock music fans,im - pop rock music
rock music fans,im - classic british rock music
rock music fans,ls - hard rock and metal music fans
rock music fans,im - rock music
rock music fans,im - hard rock and metal music
rock music fans,ls - rock music enthusiasts
rockhounding fans,im - science and nature books
rockhounding fans,im - earth sciences & geography books
rodeo devotees,im - horse riding products
rodeo devotees,im - equestrian equipment
rolex fans,im - men's watches
rolex fans,im - men's wrist watches
rolex fans,im - women's watches
rolex fans,im - women's wrist watches
rolex fans,im - watch boxes
rolex fans,im - women's pocket & fob watches
rolex fans,"im - luxury watches, loose gemstones & diamonds"
rolex fans,im - watches
roller derby fans,"im - skates, skateboards & scooters"
roller skating fans,"im - skates, skateboards & scooters"
roller skating fans,ls - skateboarding fans
romance film fans,ls - romance film fans
romance film fans,ls - interested in imdb romance movies & tv shows
romance film fans,im - romantic comedy books
romance film fans,ls - favorite streaming genre - romance
romance film fans,ls - interested in prime video romance movies & tv shows
romance film fans,ls - comedy and romantic comedy
romance film fans,im - romantic comedies
romance readers,ls - romance book fans
romance readers,im - contemporary romance books
romance readers,im - romantic comedy books
romance readers,im - fantasy romance books
romance readers,im - historical romance books
romance readers,im - military romance books
romance readers,im - paranormal romance books
romance readers,im - romantic suspense books
romance readers,im - romance books
romance readers,im - romance for young adults books
romance readers,im - contemporary romance for young adults books
romance readers,im - romance time travel books
rpg gamers,ls - interested in app  - games: role playing
rpg gamers,im - role playing games
rpg gamers,im - action and shooter games
rpg gamers,im - digital video games
rpg gamers,ls - rpg/role playing game fans
rugby fans,ls - rugby fans
rugby league fans,ls - rugby fans
rugby world cup fans,ls - rugby fans
russian/eastern european cuisine fans,im - european cooking
safari interested,im - travel photography books
safety & public welfare officers,im - safety work gloves
safety & public welfare officers,im - masks & respirators
safety & public welfare officers,im - occupational health & safety products
safety minded- antivirus & cyber security,im - safety & security
safety minded- antivirus & cyber security,ls - computer security conscious
safety minded- antivirus & cyber security,im - security apps
safety minded- antivirus & cyber security,im - security software
safety minded- home security,im - safety & security
safety minded- home security,im - home security systems
safety minded- home security,im - door hardware & locks
safety minded- home security,im - motion detectors
safety minded- home security,im - outdoor security lighting
safety minded- home security,im - window locks & latches
safety minded- home security,im - door & window child safety guards
safety minded- home security,im - safes
safety minded- internet safety,im - safety & security
safety minded- internet safety,ls - computer security conscious
safety minded- internet safety,im - security apps
safety minded- internet safety,im - security software
safety-first drivers,ls - budget shoppers of baby products (uk)
safety-first drivers,im - baby car seats and accessories
safety-first drivers,im - car on-dash mounted cameras
safety-first drivers,im - car seat protection
sailing enthusiasts,im - lifejacket for dogs
sailing enthusiasts,ls - boating enthusiasts
sales experts,im - business products
sales experts,ls - b2b - amazon business - high revenue
sales experts,ls - b2b - amazon business - business products and services business
sales experts,ls - b2b - amazon business - business with more than 50 employees
sales experts,ls - b2b - amazon business - business members
sales experts,ls - b2b - amazon business - consumer products and services business
sales strategy experts,im - business management books
sales strategy experts,ls - b2b - amazon business - high spenders
sales strategy experts,ls - b2b - amazon business - high revenue
sales strategy experts,ls - b2b - amazon business - business products and services business
sales strategy experts,ls - b2b - amazon business - business with more than 50 employees
sales strategy experts,im - business and office software
sales strategy experts,ls - b2b - amazon business - business members
sales strategy experts,ls - b2b - amazon business - consumer products and services business
salon patrons,ls - hair care - new to category
salon patrons,ls - premium shoppers of hair care (uk)
salon patrons,im - manicure and pedicure
salon patrons,im - nail design
salon patrons,im - nail care
salon patrons,im - facial treatments & masks
salon patrons,im - false nails & accessories
salon patrons,im - hair colour
salon patrons,im - face treatments & masks
salon patrons,im - false nail tips
salon patrons,im - permanent hair colour
salon patrons,im - gel nail polish
salon patrons,im - hair extensions & wigs
salon patrons,im - nail art accessories
salon patrons,im - hair extensions
salon patrons,im - nail design tools
salon patrons,im - manicure & pedicure tools & accessories
salvatore ferragamo fans,ls - premium shoppers of fashion (uk)
salvatore ferragamo fans,im - men's fashion
salvatore ferragamo fans,im - women's fashion
samsung fans,ls - android os fans
samsung fans,im - mobile phones
samsung fans,im - smartphones
samsung fans,im - samsung smartphones
satire readers,im - humor books
satire readers,im - humorous fiction books
satire readers,ls - favorite streaming genre - comedy
satire readers,ls - comedy fans
satire readers,im - comedy tv shows
savvy savers,ls - budget shoppers of fashion  (uk)
savvy savers,ls - budget shoppers of toys and games  (uk)
savvy savers,ls - budget shoppers of computers and accessories (uk)
savvy savers,ls - budget shoppers of skin care (uk)
savvy savers,ls - discount shoppers of toys and games (uk)
savvy savers,ls - budget shoppers of oral care (uk)
savvy savers,ls - discount shoppers of skin care (uk)
savvy savers,ls - discount shoppers of hair care (uk)
savvy savers,ls - discount shoppers of fashion (uk)
savvy savers,ls - discount shoppers of cosmetics and beauty accessories (uk)
savvy savers,ls - discount shoppers of baby products (uk)
savvy savers,ls - bargain hunters
savvy savers,ls - discount shoppers of computers and accessories (uk)
savvy savers,ls - discount shoppers of oral care (uk)
savvy savers,ls - discount shoppers of home furnishings (uk)
scandinavian cuisine fans,im - european cooking
school educators & administrators,im - education & reference for children books
school educators & administrators,im - education studies & teaching resources books
school educators & administrators,im - educational science kits
school educators & administrators,im - school education & teaching books
school educators & administrators,im - school curriculum resources
school educators & administrators,im - educational supplies
school educators & administrators,im - education for kids
school educators & administrators,ls - b2b - amazon business - k12 education business
school educators & administrators,im - care & counselling in education books
sci-fi  movies,ls - amazon video sci-fi film fans
sci-fi  movies,"ls -frequent streamers of science fiction, fantasy, action & anime"
sci-fi  movies,ls - interested in imdb sci-fi movies & tv shows
sci-fi  movies,ls - science fiction fans
sci-fi  movies,"im - tv, movie, game adaptations books"
sci-fi  movies,ls - favorite streaming genre - science fiction
sci-fi  movies,ls - interested in prime video science fiction movies & tv shows
sci-fi  movies,im - dystopian books
sci-fi  movies,ls - sci-fi film fans
sci-fi  movies,im - fantasy films
sci-fi  movies,im - sci-fi films
sci-fi  movies,ls - sci-fi and fantasy fans
sci-fi & fantasy show fans,"ls -frequent streamers of science fiction, fantasy, action & anime"
sci-fi & fantasy show fans,ls - interested in imdb sci-fi movies & tv shows
sci-fi & fantasy show fans,ls - science fiction fans
sci-fi & fantasy show fans,ls - favorite streaming genre - science fiction
sci-fi & fantasy show fans,ls - interested in prime video fantasy movies & tv shows
sci-fi & fantasy show fans,ls - interested in prime video science fiction movies & tv shows
sci-fi & fantasy show fans,ls - sci-fi film fans
sci-fi & fantasy show fans,ls - sci-fi tv show fans
sci-fi & fantasy show fans,ls - sci-fi and fantasy fans
sci-fi film fans,ls - amazon video sci-fi film fans
sci-fi film fans,ls - interested in imdb sci-fi movies & tv shows
sci-fi film fans,ls - science fiction fans
sci-fi film fans,ls - favorite streaming genre - science fiction
sci-fi film fans,ls - interested in prime video science fiction movies & tv shows
sci-fi film fans,ls - sci-fi film fans
sci-fi film fans,im - fantasy films
sci-fi film fans,im - sci-fi films
sci-fi film fans,ls - sci-fi and fantasy fans
science and nature show fans,im - science and nature books
science and nature show fans,"im - children's books on science, nature & how it works"
science and nature show fans,ls - popular science book shoppers
science and nature show fans,im - children's books on nature
science and nature show fans,ls - science and nature book fans
science and nature show fans,im - wildlife gardening books
science and nature show fans,im - birdwatching books
science fiction readers,im - science fiction & fantasy books
science fiction readers,im - science fiction books
science fiction readers,ls - science fiction fans
science fiction readers,im - science fiction & fantasy for children books
science fiction readers,im - science fiction & fantasy for young adults books
science fiction readers,"im - tv, movie, game adaptations books"
science fiction readers,ls - science fiction book fans
science fiction readers,im - dystopian books
science fiction readers,im - science fiction adventure books
science fiction readers,ls - sci-fi and fantasy fans
scooter buyers,im - electric scooters
scooter buyers,im - scooters
scooter buyers,im - open-face motorbike helmets
scooter buyers,im - scooters & equipment
scrapbooking hobbyists,im - kids' art & craft supplies
scrapbooking hobbyists,im - cards & card stock
scrapbooking hobbyists,im - hobbies & crafts books
scrapbooking hobbyists,im - kids' craft kits
scrapbooking hobbyists,im - handmade products
scrapbooking hobbyists,"im - labels, index dividers & stamps"
scrapbooking hobbyists,im - kids' colouring pens & markers
scrapbooking hobbyists,"im - tape, adhesives & fasteners"
scrapbooking hobbyists,im - arts and crafts
scrapbooking hobbyists,"im - memo pads, notepads & scratch pads"
scrapbooking hobbyists,im - stamps & stamp supplies
screenwriters,ls - interested in british academy film awards (bafta) in imdb
screenwriters,ls - interested in emmy awards in imdb
screenwriters,ls - interested in cannes film festival in imdb
scuba diving enthusiasts,im - water sports
scuba diving enthusiasts,im - swimming & diving books
scuba diving enthusiasts,im - action cameras
sculpting fans,im - other art media & techniques books
sculpting fans,im - arts and crafts
sculpting fans,im - handmade decorative accessories
sculpting fans,im - handmade signs & plaques
seat fans,ls - seat owners eu
seat fans,ls - seat owners
security & investigation experts,im - spy cameras
security & investigation experts,ls - computer security conscious
security & investigation experts,im - occupational health & safety products
sedan owners,ls - sedan owners
sedan owners,ls - audi a4 owners
sedan owners,ls - large family car owners
sedan owners,ls - saloon vehicle owners
semiconductor specialists,im - motherboards
serie a fans,im - football books
sewing specialists,im - hobbies & crafts books
sewing specialists,im - handmade products
sewing specialists,im - knitting books
shaving,im - shaving and hair removal
shaving,ls - shaving & hair removal - new to category
shaving,im - electric shavers
shaving,im - manual shaving
shaving,im - men's electric shavers
shaving,im - men's manual shaving
shaving,im - aftershave balms
shaving,im - hair removal
shooter game players,im - triple a video games
shooter game players,im - action and shooter games
shooter game players,im - zombie games
shooting sport enthusiasts,im - hunting
shopaholics,ls - top 5% spenders on amazon
shopping centre enthusiasts,ls - prime day shopper lookalikes - uk
shopping centre enthusiasts,ls - discount shoppers of toys and games (uk)
shopping centre enthusiasts,ls - discount shoppers of fashion (uk)
shopping centre enthusiasts,ls - discount shoppers of home furnishings (uk)
short story readers,im - short stories books
showrooming customers,ls - top 5% spenders on amazon
showrooming customers,ls - b2b - amazon business - business products and services business
simulation gamers,im - simulation games
simulation gamers,im - simulation games for kids
sisley fans,ls - premium shoppers of fashion (uk)
sisley fans,im - luxury beauty products
sisley fans,ls - beauty conscientious
skateboarding buffs,"im - skates, skateboards & scooters"
skateboarding buffs,im - extreme sports books
skateboarding buffs,ls - skateboarding fans
skechers fans,im - footwear
sketching fans,im - drawing books
sketching fans,im - pencils
sketching fans,im - other art media & techniques books
sketching fans,im - coloured pencils for adults
sketching fans,im - arts and crafts
sketching fans,im - pencil cases
sketching fans,im - kids' drawing & writing boards
skiing lovers,"ls - climbing, hiking, mountaineering or winter sports fans"
skiing lovers,im - ski clothing
skiing lovers,im - men's ski clothing
skiing lovers,ls - snowsports enthusiasts
skiing lovers,im - snow skiing equipment
skilled accountants,im - business and finance books
skilled accountants,im - business & finance textbooks
skilled accountants,im - business economics books
skilled accountants,im - professional finance books
skilled accountants,im - business and office software
skills-based training supporters,im - care & counselling in education books
skills-based training supporters,im - education apps
skin care product fans,im - skin care
skin care product fans,ls - discount shoppers of skin care (uk)
skin care product fans,im - face care
skin care product fans,ls - skin care - new to category
skin care product fans,ls - premium shoppers of skin care (uk)
skin care product fans,im - body moisturisers
skin care product fans,im - body skin care
skin care product fans,im - skin care sets & kits
skin care product fans,im - facial treatments & masks
skin care product fans,im - lip balms
skin care product fans,im - lip care
skin care product fans,ls - skincare gift sets - new to category
skin care product fans,im - face treatments & masks
skin care product fans,im - body lotions
skin care product fans,ls - beauty products purchasers - new to category
skin care product fans,im - concealers & correctors
skin care product fans,ls - beauty conscientious
skydiving daredevils,im - extreme sports books
sledding fans,im - snow sledding equipment
sledding fans,im - snow sleds
small pet owners,im - pet supplies store
small pet owners,im - small animals
smart home enthusiasts,im - home entertainment products
smart home enthusiasts,im - home security systems
smart home enthusiasts,im - premium tech products
smart home enthusiasts,im - remote & app-controlled devices
smart home enthusiasts,im - smart & remote controlled plugs
smart home enthusiasts,alexa device owners
sme leaders,im - business and finance books
sme leaders,im - business & finance textbooks
sme leaders,ls - b2b - amazon business - business with 1-10 employees
sme leaders,ls - b2b - amazon business - business with 1-3 employees
sme leaders,ls - b2b - amazon business - business with 1 employee
sme leaders,ls - b2b - amazon business - business with 11-50 employees
sme leaders,ls - b2b - amazon business - business products and services business
sme leaders,ls - b2b - amazon business - business members
sme leaders,ls - b2b - business owners
snackers,im - chocolate
snackers,"im - biscuits, snacks and crisps"
snackers,im - sweets gifts
snackers,im - hot chocolate & malted drinks
snackers,"im - sauces, dips and spreads"
snackers,"im - jams, honey & spreads"
snackers,im - nuts & seeds
snackers,"im - sweets, chocolate and gum"
snackers,im - jelly beans
snackers,im - cereals and muesli
snorkelling fans,im - water sports
snorkelling fans,im - swimming & diving books
snowboarding aficionados,"ls - climbing, hiking, mountaineering or winter sports fans"
snowboarding aficionados,im - ski clothing
snowboarding aficionados,im - men's ski clothing
snowboarding aficionados,ls - snowsports enthusiasts
snowboarding aficionados,im - ice & snow grips
snowboarding aficionados,im - snow skiing equipment
snowboarding aficionados,im - extreme sports books
snowboarding aficionados,im - women's snow & rainwear
snowshoeing enthusiasts,"ls - climbing, hiking, mountaineering or winter sports fans"
snowshoeing enthusiasts,im - ski clothing
snowshoeing enthusiasts,ls - snowsports enthusiasts
snowshoeing enthusiasts,im - ice & snow grips
snowshoeing enthusiasts,im - snow skiing equipment
snowshoeing enthusiasts,im - women's snow & rainwear
soap crafting artists,im - handmade products
soap crafting artists,im - solid soap bars
soap opera fans,"ls -frequent streamers of drama, romance, comedy & musicals"
soap opera fans,ls - drama tv shows
soap opera fans,ls - tv soap fans
soap opera fans,im - drama tv shows
soccer fans,ls - football fans
soccer fans,im - football
soccer fans,im - football balls
soccer fans,im - football apparel
soccer fans,im - men's football boots
soccer fans,im - men's football clothing
soccer fans,im - men's football socks
soccer fans,im - children's books on football
soccer fans- attendees,ls - football fans
soccer fans- attendees,im - football
soccer fans- attendees,im - men's football clothing
social media enthusiasts,ls - favorite streaming genre - comedy
social media enthusiasts,im - entertainment apps
social media enthusiasts,im - photo & video apps
social media enthusiasts,im - social apps
social media enthusiasts,ls - interested in app  - social networking
social media enthusiasts,im - selfie sticks
social studies minds,"im - society, politics and philosophy books"
social studies minds,"ls - allies of diversity , equity & inclusion"
social studies minds,im - social sciences books
social studies minds,im - social & cultural history books
social studies minds,im - social & cultural anthropology books
social studies minds,im - history of the americas books
social studies minds,im - local & urban cultural history books
social studies minds,im - civil rights & citizenship books
social studies minds,im - multicultural history books
socialisers- home entertaining,ls - home makers
socialisers- home entertaining,ls - home cooking enthusiasts
socialisers- home entertaining,im - kitchen and dining
socialisers- home entertaining,"im - health, family & lifestyle books"
socialisers- home entertaining,im - entertaining & special occasions books
socialisers- home entertaining,im - food and drink books
socialisers- home entertaining,im - cooking for special occasions
socialisers- home entertaining,im - gourmet food & drink books
socialisers- home entertaining,im - british food & drink books
socialisers- home entertaining,im - party planning books
sociology thinkers,"im - society, politics and philosophy books"
sociology thinkers,im - social sciences books
sociology thinkers,im - social & cultural history books
sociology thinkers,im - social & cultural anthropology books
soft rock listeners,ls - adult contemporary music fans
soft rock listeners,im - classic british rock music
soft rock listeners,im - adult contemporary music
soft rock listeners,ls - easy listening music fans
soft rock listeners,im - easy listening music
software developers,im - software
software developers,im - computer software
software developers,im - business and office software
software experts,ls - similar to computing professionals
software experts,im - office electronics
software experts,im - software
software experts,im - computer software
software experts,im - business and office software
software experts- browsers,ls - pc accessories - new to category browsers
software experts- browsers,im - web browsers
software experts- cloud computing,im - data storage
software experts- cloud computing,im - external data storage
software experts- cloud computing,im - business and office software
software experts- cloud computing,ls - b2b - amazon business - it business
software experts- collaboration & conferencing tools,im - office electronics
software experts- collaboration & conferencing tools,im - webcams & voip equipment
software experts- collaboration & conferencing tools,im - business and office software
software experts- collaboration & conferencing tools,ls - b2b - amazon business - it business
software experts- crm solutions,im - business and office software
software experts- crm solutions,ls - b2b - amazon business - it business
software experts- databases,im - data storage
software experts- databases,im - external data storage
software experts- databases,ls - b2b - amazon business - it business
software experts- email,im - mailers
software experts- enterprise software,im - business products
software experts- enterprise software,im - software
software experts- enterprise software,ls - b2b - amazon business - business products and services business
software experts- enterprise software,ls - b2b - amazon business - business with more than 50 employees
software experts- enterprise software,im - business and office software
software experts- enterprise software,ls - b2b - amazon business - it business
software experts- free software,im - software
sony fans,im - cameras
sony fans,ls - android os fans
sony fans,"im - playstation 5 consoles, games & accessories"
sony fans,im - mobile phones
sony fans,"im - playstation 4 consoles, games & accessories"
sony fans,im - smartphones
sony fans,im - playstation 5 accessories
sony fans,im - sony smartphones
sony fans,im - playstation 4 accessories
sony fans,im - digital cameras
sony fans,im - compact cameras
sony fans,im - blu ray players
sony fans,im - playstation 5 consoles
sony fans,"im - playstation consoles, games & accessories"
sophisticated marketers,im - communication studies books
sophisticated marketers,im - media & communication industries books
sophisticated marketers,ls - b2b - amazon business - high spenders
soul music fans,ls - r&b and soul music fans
